course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,subject,ingreso_por_curso
822514,CAIIB Advanced Bank Management (Part I),True,25,2953,20,211,All Levels,Business Finance,73825
1045726,Stock Market investment:Non financial fundamental analysis,True,125,1091,4,29,Beginner Level,Business Finance,136375
943426,Learn How to Play CashFlow Game,True,35,1459,11,26,Beginner Level,Business Finance,51065
46927,Basics of Business Finance,True,30,4855,64,24,Beginner Level,Business Finance,145650
567070,Accounting Made Easy 2,True,50,4034,8,40,Intermediate Level,Business Finance,201700
867440,"Bitcoin: el futuro del dinero, hoy",True,200,57,22,19,Intermediate Level,Business Finance,11400
501996,Aprende a invertir practicando,True,35,26,9,42,All Levels,Business Finance,910
1103590,Trading con retrocesos de Fibonacci,True,25,14,4,15,All Levels,Business Finance,350
1172370,Mit Finanzwissen zu besserem Unternehmertum,True,50,49,3,23,Beginner Level,Business Finance,2450
673702,Como hacer empresa en 10 sesiones prácticas,True,20,11,2,10,Intermediate Level,Business Finance,220
821108,المحاسبة للإداريين و غير المحاسبين,True,20,9,3,17,Beginner Level,Business Finance,180
863998,株式投資で本当のファンダメンタル分析ができるようになる,True,20,91,7,30,All Levels,Business Finance,1820
822926,Curso de Trading práctico basado en casos reales,True,20,44,6,55,All Levels,Business Finance,880
666254,Curso Avanzado de Trading,True,125,106,11,100,All Levels,Business Finance,13250
421546,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,False,0,2079,258,25,All Levels,Business Finance,0
518886,MQL4 Tutorial Golden Goose,True,20,135,5,12,Beginner Level,Business Finance,2700
868128,Análise de Concessão de Crédito,True,20,31,11,20,All Levels,Business Finance,620
986034,Technical Analysis Using Elliott Wave Theory,True,60,217,7,16,All Levels,Business Finance,13020
42642,The Basics Of Volume Analysis,True,60,611,57,13,All Levels,Business Finance,36660
471428,Crash Course on Cost of Capital and Capital Structuring,False,0,5007,41,19,All Levels,Business Finance,0
600206,Business Accounting Made Easy,True,50,1168,5,26,Beginner Level,Business Finance,58400
283780,Build a DCF Model from Scratch,False,0,4653,395,5,All Levels,Business Finance,0
52118,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",False,0,3035,12,14,All Levels,Business Finance,0
42640,Technical Analysis - A practical approach for trade entry,True,60,454,52,15,Expert Level,Business Finance,27240
767256,Mastering Technical Analysis : Maximizing Trading Profits,True,60,325,14,62,All Levels,Business Finance,19500
843854,The Complete Guide to Professional Trading with Elliott Wave,True,115,228,49,43,All Levels,Business Finance,26220
247558,A Complete Guide to Becoming a Trader on the Forex Market,True,25,562,11,15,All Levels,Business Finance,14050
696616,Stock Market for Beginners - Complete Starter Toolkit,True,120,577,45,82,Intermediate Level,Business Finance,69240
205810,Beginners Binary Options Course,False,0,10540,799,14,Beginner Level,Business Finance,0
507486,Technical Analysis 101: Secrets of Trading Revealed,True,150,912,27,81,All Levels,Business Finance,136800
965306,Forex: What's a Trend and When it is Strong and Reliable,False,0,2955,43,30,Intermediate Level,Business Finance,0
1128662,Volatility Trading Analysis with R,True,50,190,13,45,Expert Level,Business Finance,9500
1068986,How To Profit From Stock Market Volatility,False,0,1736,36,11,All Levels,Business Finance,0
627706,Awaken the Accountant in You | Master the Accounting Basics,True,35,1135,10,16,Beginner Level,Business Finance,39725
255280,WE WILL PAY YOU TO TRADE WITH US,True,20,2101,51,11,All Levels,Business Finance,42020
628944,Situational Trading: Proven Option Strategy for any Scenario,True,200,1048,11,16,All Levels,Business Finance,209600
537886,Portfolio Management for CA / CS / CFA exams,True,20,1740,5,8,All Levels,Business Finance,34800
517938,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),True,20,1749,41,21,All Levels,Business Finance,34980
779678,Finding an Unlimited Amount of Investors,True,80,1187,6,6,All Levels,Business Finance,94960
494330,Bookkeeping Made Easy,True,70,1263,21,18,Beginner Level,Business Finance,88410
153926,BITCOIN VISUALLY. Part I.,True,50,115,6,31,Beginner Level,Business Finance,5750
806122,Learn and Master the Basics of Finance,True,20,43,17,39,Beginner Level,Business Finance,860
725658,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,True,75,55,2,27,All Levels,Business Finance,4125
1032234,Mastering the Market : (Technical Analysis + Candlestick),True,90,18,7,97,All Levels,Business Finance,1620
996542,Mastering Countertrend Trading : High Profit Trading Pattern,True,40,14,5,11,All Levels,Business Finance,560
756520,Exam 1 Review - Managerial Accounting (U of H),True,30,47,9,22,Beginner Level,Business Finance,1410
768028,* An Integrated Approach to the Fundamentals of Accounting,True,200,134,14,123,All Levels,Business Finance,26800
73030,Get to grips with the CFA calculator,True,20,153,8,14,All Levels,Business Finance,3060
476880,Financial Model Fundamentals-Learn the Essential Skills,True,75,47,5,27,All Levels,Business Finance,3525
773060,Forex: Economic News Trading,True,25,42,14,11,All Levels,Business Finance,1050
552058,Analyze Real Estate Investments | Financial Modeling,True,20,120,18,21,All Levels,Business Finance,2400
509512,Forex For Beginners - A Guide To Currency Trading,True,20,68,10,23,Beginner Level,Business Finance,1360
497236,Raise Your Credit Score to 800 Or More....,True,50,844,33,40,All Levels,Business Finance,42200
471556,Financial Management Budgeting Techniques,True,20,2045,3,10,All Levels,Business Finance,40900
403602,Forex Killing Divergence - How to trade with precision,True,20,1168,38,11,All Levels,Business Finance,23360
326948,Working Capital Management for CA / CFA / CPA Exams,True,25,2342,9,33,Intermediate Level,Business Finance,58550
537896,Risk Analysis - Capital Budgeting for CA / CS / CFA exams,True,20,2268,4,47,All Levels,Business Finance,45360
797762,Corporate Finance 101: Financial Statement Analysis & Ratios,True,50,967,16,43,All Levels,Business Finance,48350
