title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
Mindfulness and Resilience to Stress at Work,33414,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,English,1–2 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,1.5,199,4,6649386,6.0,"(0.0, 10.0]",10.416730252817723,"(0.0, 10.0]"
Framing Your Communication to Inspire and Convince,49351,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,English,4–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $125 USD,4.5,125,5,6168875,22.5,"(20.0, 30.0]",10.806713308080846,"(20.0, 30.0]"
Business Foundations,55154,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $150 USD,4.0,150,6,8273100,24.0,"(20.0, 30.0]",10.91788455151661,"(20.0, 30.0]"
The Chemistry of Life,78704,Self-paced on your time,Kyoto University,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,13 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,13,3856496,32.5,"(30.0, 40.0]",11.273449259035122,"(30.0, 40.0]"
Nutrition and Health: Micronutrients and Malnutrition,78266,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,English,6–8 hours per week,7 Weeks,FREE-Add a Verified Certificate for $99 USD,7.0,99,7,7748334,49.0,"(40.0, 50.0]",11.267868560344127,"(40.0, 50.0]"
Digital Design,12339,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Design,English,English,5–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $50 USD,5.5,50,5,616950,27.5,"(20.0, 30.0]",9.420520256898534,"(20.0, 30.0]"
Machine Learning for Data Science and Analytics,140419,Self-paced on your time,Columbia University,Introductory,Computer Science,English,English,7–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,8.5,99,5,13901481,42.5,"(40.0, 50.0]",11.852386089053217,"(40.0, 50.0]"
The Science of Everyday Thinking,318399,Self-paced on your time,The University of Queensland,Introductory,Business & Management,English,English,2–3 hours per week,12 Weeks,FREE-Add a Verified Certificate for $99 USD,2.5,99,12,31521501,30.0,"(20.0, 30.0]",12.671060592243915,"(20.0, 30.0]"
Gestion de projets de développement,41663,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Français,Français,3–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,3.5,25,10,1041575,35.0,"(30.0, 40.0]",10.637368723744101,"(30.0, 40.0]"
Product Management Fundamentals,11913,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,4,2370687,10.0,"(0.0, 10.0]",9.38538551979936,"(0.0, 10.0]"
International Human Rights Law,74424,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,English,6–8 hours per week,12 Weeks,FREE-Add a Verified Certificate for $150 USD,7.0,150,12,11163600,84.0,"(80.0, 100.0]",11.217533749448394,"(80.0, 100.0]"
The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Self-paced on your time,SDG Academy,Intermediate,Education & Teacher Training,English,"اللغة العربية, English, Español, हिन्दी, Português",2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,8,1133811,24.0,"(20.0, 30.0]",10.049274784602108,"(20.0, 30.0]"
Data Science and Machine Learning Capstone Project,21809,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,English,3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,3.5,99,6,2159091,21.0,"(20.0, 30.0]",9.990078007617226,"(20.0, 30.0]"
"Data Science for Construction, Architecture and Engineering",11113,Self-paced on your time,The National University of Singapore,Introductory,Data Analysis & Statistics,English,English,4–6 hours per week,7 Weeks,FREE-Add a Verified Certificate for $199 USD,5.0,199,7,2211487,35.0,"(30.0, 40.0]",9.315870873185647,"(30.0, 40.0]"
"Nutrition, Heart Disease and Diabetes",24986,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,English,6–8 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,7.0,99,5,2473614,35.0,"(30.0, 40.0]",10.126070946991774,"(30.0, 40.0]"
Project Management for Development,62099,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,English,English,3–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,10,3042851,35.0,"(30.0, 40.0]",11.036485164732333,"(30.0, 40.0]"
Introduction to Cloud Infrastructure Technologies,86923,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,3–4 hours per week,14 Weeks,FREE-Add a Verified Certificate for $169 USD,3.5,169,14,14689987,49.0,"(40.0, 50.0]",11.372777948270842,"(40.0, 50.0]"
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566,Self-paced on your time,Wageningen University & Research,Introductory,Art & Culture,English,English,4–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $65 USD,5.0,65,5,881790,25.0,"(20.0, 30.0]",9.515321941506025,"(20.0, 30.0]"
Machine Learning,150855,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,English,8–10 hours per week,12 Weeks,FREE-Add a Verified Certificate for $249 USD,9.0,249,12,37562895,108.0,"(100.0, inf]",11.924074389546691,"(100.0, inf]"
Introducción a la gestión de proyectos,98517,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Business & Management,Español,Español,4–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $50 USD,4.5,50,5,4925850,22.5,"(20.0, 30.0]",11.49798440110093,"(20.0, 30.0]"
Free Cash Flow Analysis,36085,Self-paced on your time,Columbia University,Introductory,Business & Management,English,English,3–4 hours per week,5 Weeks,FREE-Add a Verified Certificate for $225 USD,3.5,225,5,8119125,17.5,"(10.0, 20.0]",10.493632545506374,"(10.0, 20.0]"
Lean Production,55926,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,English,3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,3.5,99,6,5536674,21.0,"(20.0, 30.0]",10.931784667289213,"(20.0, 30.0]"
Introduction to Algebra,131197,Self-paced on your time,SchoolYourself,Introductory,Math,English,English,4–6 hours per week,4 Weeks,FREE-Add a Verified Certificate for $139 USD,5.0,139,4,18236383,20.0,"(10.0, 20.0]",11.78445528937704,"(10.0, 20.0]"
"LaTeX for Students, Engineers, and Scientists",11823,Self-paced on your time,IITBombay,Introductory,Engineering,English,English,3–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $139 USD,3.5,139,7,1643397,24.5,"(20.0, 30.0]",9.377802065863113,"(20.0, 30.0]"
Leading With Effective Communication (Inclusive Leadership Training),107770,Self-paced on your time,Catalyst,Introductory,Communication,English,English,1–2 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,1.5,50,4,5388500,6.0,"(0.0, 10.0]",11.587754605590877,"(0.0, 10.0]"
Anatomy: Musculoskeletal and Integumentary Systems,51969,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,4,2546481,10.0,"(0.0, 10.0]",10.85840266594705,"(0.0, 10.0]"
"Inglés empresarial: ventas, gestión y liderazgo",10897,Instructor-led on a course schedule,Universidades Anáhuac,Introductory,Business & Management,English,"English, Español",5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,6.5,49,4,533953,26.0,"(20.0, 30.0]",9.296242800976886,"(20.0, 30.0]"
Business Strategy from Wharton: Competitive Advantage,26675,Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,English,English,3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,3.5,199,6,5308325,21.0,"(20.0, 30.0]",10.191482076169954,"(20.0, 30.0]"
Inteligencia emocional para el liderazgo efectivo y colaboración,14726,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,Español,4–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,4,721574,18.0,"(10.0, 20.0]",9.597369917928662,"(10.0, 20.0]"
Introducción al desarrollo de aplicaciones web,27757,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,Español,4–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,5,1360093,22.5,"(20.0, 30.0]",10.231243339616583,"(20.0, 30.0]"
"Six Sigma: Analyze, Improve, Control",56016,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,English,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,3.5,99,8,5545584,28.0,"(20.0, 30.0]",10.933392643194447,"(20.0, 30.0]"
Introducción a la inteligencia emocional,18830,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,Español,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,4,922670,16.0,"(10.0, 20.0]",9.843206621651198,"(10.0, 20.0]"
AP® Microeconomics,53664,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Economics & Finance,English,English,3–4 hours per week,12 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,12,2629536,42.0,"(40.0, 50.0]",10.890497664622936,"(40.0, 50.0]"
Engineering Calculus and Differential Equations,21535,Self-paced on your time,University of Hong Kong,Introductory,Math,English,English,3–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,4.5,50,6,1076750,27.0,"(20.0, 30.0]",9.977434797488211,"(20.0, 30.0]"
Linear Algebra - Foundations to Frontiers,88570,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,English,6–10 hours per week,15 Weeks,FREE-Add a Verified Certificate for $49 USD,8.0,49,15,4339930,120.0,"(100.0, inf]",11.391548478803628,"(100.0, inf]"
Habilidades de negociación y comunicación efectiva,19614,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Español,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,6.5,149,4,2922486,26.0,"(20.0, 30.0]",9.883998875952265,"(20.0, 30.0]"
Effective Communication for Today's Leader,8862,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,English,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,6.5,149,4,1320438,26.0,"(20.0, 30.0]",9.089527751759436,"(20.0, 30.0]"
Electric Cars: Technology,40972,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,English,4–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,4.5,50,4,2048600,18.0,"(10.0, 20.0]",10.620644185556426,"(10.0, 20.0]"
Site Planning Online,12948,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Design,English,English,4–6 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,5.0,99,10,1281852,50.0,"(40.0, 50.0]",9.468696615046134,"(40.0, 50.0]"
Macroeconometric Forecasting,69358,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,8–10 hours per week,9 Weeks,FREE-Add a Verified Certificate for $25 USD,9.0,25,9,1733950,81.0,"(80.0, 100.0]",11.147036775975248,"(80.0, 100.0]"
Administración pública y fiscal: cómo se gestiona un gobierno,49189,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,"Español, Español",3–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,3.5,25,10,1229725,35.0,"(30.0, 40.0]",10.803425300247511,"(30.0, 40.0]"
Fundamentals of Red Hat Enterprise Linux,53788,Self-paced on your time,Red Hat,Introductory,Computer Science,English,English,1–3 hours per week,9 Weeks,FREE-Add a Verified Certificate for $99 USD,2.0,99,9,5325012,18.0,"(10.0, 20.0]",10.89280567294376,"(10.0, 20.0]"
Algorithms,61722,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,English,6–8 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,7.0,149,6,9196578,42.0,"(40.0, 50.0]",11.030395710359086,"(40.0, 50.0]"
Calculus Applied!,54976,Self-paced on your time,Harvard University,Intermediate,Math,English,English,3–6 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,4.5,99,10,5442624,45.0,"(40.0, 50.0]",10.914652005343926,"(40.0, 50.0]"
Precalculus,55576,Self-paced on your time,Arizona State University,Intermediate,Math,English,English,9–10 hours per week,15 Weeks,FREE-Add a Verified Certificate for $49 USD,9.5,49,15,2723224,142.5,"(100.0, inf]",10.925506732372718,"(100.0, inf]"
Fundamentos de anatomía y técnica quirúrgica básica,12133,Instructor-led on a course schedule,Universidad del Rosario,Introductory,Medicine,Español,Español,4–6 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,5.0,49,4,594517,20.0,"(10.0, 20.0]",9.403684292051873,"(10.0, 20.0]"
Business Communications,60713,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $150 USD,4.0,150,6,9106950,24.0,"(20.0, 30.0]",11.013913122156428,"(20.0, 30.0]"
Italian Language and Culture: Intermediate (2019-2020),35058,Self-paced on your time,Wellesley College,Intermediate,Language,Italiano,Italiano,3–5 hours per week,12 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,12,1717842,48.0,"(40.0, 50.0]",10.464759111782492,"(40.0, 50.0]"
International Women's Health and Human Rights,9796,Self-paced on your time,Stanford University,Introductory,Social Sciences,English,English,1–5 hours per week,10 Weeks,FREE-Add a Verified Certificate for $50 USD,3.0,50,10,489800,30.0,"(20.0, 30.0]",9.189729418072059,"(20.0, 30.0]"
Blockchain: Understanding Its Uses and Implications,66769,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,English,English,2–3 hours per week,14 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,14,13287031,35.0,"(30.0, 40.0]",11.108994179953779,"(30.0, 40.0]"
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366,Self-paced on your time,Imperial College London,Intermediate,Math,English,English,2–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,7,1095934,21.0,"(20.0, 30.0]",10.015297227588134,"(20.0, 30.0]"
Blockchain Technology,55376,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,6,5482224,24.0,"(20.0, 30.0]",10.921901565875125,"(20.0, 30.0]"
Basics of Power BI,8314,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,English,1–5 hours per week,2 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,2,407386,6.0,"(0.0, 10.0]",9.025696119812583,"(0.0, 10.0]"
Preparing to Network in English,34337,Self-paced on your time,University of Washington,Introductory,Language,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,4.0,149,6,5116213,24.0,"(20.0, 30.0]",10.44397876895787,"(20.0, 30.0]"
Mandarin Chinese Essentials,36665,Self-paced on your time,MandarinX,Introductory,Language,English,English,4–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,7.0,99,5,3629835,35.0,"(30.0, 40.0]",10.5095779005279,"(30.0, 40.0]"
Human Rights: The Rights of Refugees,84270,Self-paced on your time,Amnesty International,Introductory,Humanities,English,English,3–5 hours per week,3 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,3,4129230,12.0,"(10.0, 20.0]",11.341781208766399,"(10.0, 20.0]"
What do Architects and Urban Planners do?,11046,Self-paced on your time,Wits University,Introductory,Architecture,English,English,2–3 hours per week,3 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,3,541254,7.5,"(0.0, 10.0]",9.309823650461134,"(0.0, 10.0]"
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,English,2–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,4,1113427,12.0,"(10.0, 20.0]",10.031132906371798,"(10.0, 20.0]"
Negotiation Skills and Effective Communication,8146,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,English,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,6.5,149,4,1213754,26.0,"(20.0, 30.0]",9.005282288208358,"(20.0, 30.0]"
AP® English Literature & Composition – Part 1: Stories,15650,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,English,4–5 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,7,766850,31.5,"(30.0, 40.0]",9.658226195968298,"(30.0, 40.0]"
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Medicine,English,English,2–3 hours per week,7 Weeks,FREE-Add a Verified Certificate for $149 USD,2.5,149,7,4277790,17.5,"(10.0, 20.0]",10.26500077311511,"(10.0, 20.0]"
Alianzas: un vehículo para lograr el desarrollo sostenible,17554,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,English,3–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,3.5,25,10,438850,35.0,"(30.0, 40.0]",9.773037123152063,"(30.0, 40.0]"
Designing and Creating Skirts,13954,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,English,3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,5,1381446,20.0,"(10.0, 20.0]",9.543521484499182,"(10.0, 20.0]"
Cómo Aprender Online,7958,Self-paced on your time,edX,Introductory,Education & Teacher Training,Español,"English, Español",2–3 hours per week,2 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,2,389942,5.0,"(0.0, 10.0]",8.981932990986873,"(0.0, 10.0]"
Computing in Python II: Control Structures,31511,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,English,9–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,9.5,99,5,3119589,47.5,"(40.0, 50.0]",10.358091970204585,"(40.0, 50.0]"
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,Español,3–4 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,5,1451086,17.5,"(10.0, 20.0]",10.296002501468664,"(10.0, 20.0]"
Machine Learning Fundamentals,82008,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,English,8–10 hours per week,10 Weeks,FREE-Add a Verified Certificate for $350 USD,9.0,350,10,28702800,90.0,"(80.0, 100.0]",11.314572082463238,"(80.0, 100.0]"
Pre-University Calculus,103224,Self-paced on your time,Delft University of Technology,Introductory,Math,English,English,6–8 hours per week,8 Weeks,FREE-Add a Verified Certificate for $50 USD,7.0,50,8,5161200,56.0,"(50.0, 60.0]",11.544656663131683,"(50.0, 60.0]"
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Self-paced on your time,Tsinghua University,Introductory,Language,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,6,2882866,15.0,"(10.0, 20.0]",10.982475198067938,"(10.0, 20.0]"
Deep Learning with Python and PyTorch,36195,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,3.0,99,6,3583305,18.0,"(10.0, 20.0]",10.496676266727242,"(10.0, 20.0]"
Diseña presentaciones eficaces con Powerpoint,36663,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,4–10 hours per week,3 Weeks,FREE-Add a Verified Certificate for $50 USD,7.0,50,3,1833150,21.0,"(20.0, 30.0]",10.509523351106111,"(20.0, 30.0]"
World of Wine: From Grape to Glass,81839,Self-paced on your time,University of Adelaide,Introductory,Science,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,6,16285961,15.0,"(10.0, 20.0]",11.312509181587025,"(10.0, 20.0]"
Sustainable Cities,16619,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,"English, हिन्दी",4–6 hours per week,9 Weeks,FREE-Add a Verified Certificate for $49 USD,5.0,49,9,814331,45.0,"(40.0, 50.0]",9.718301898127523,"(40.0, 50.0]"
Introduction to Developmental Psychology,38060,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,1.5,99,8,3767940,12.0,"(10.0, 20.0]",10.546919140850141,"(10.0, 20.0]"
Creativity & Entrepreneurship,69413,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,4,3401237,16.0,"(10.0, 20.0]",11.147829448837443,"(10.0, 20.0]"
College Algebra and Problem Solving,103010,Self-paced on your time,Arizona State University,Introductory,Math,English,English,8–9 hours per week,15 Weeks,FREE-Add a Verified Certificate for $49 USD,8.5,49,15,5047490,127.5,"(100.0, inf]",11.54258134987774,"(100.0, inf]"
Academic writing for clarity and meaning,16220,Self-paced on your time,Wits University,Introductory,Education & Teacher Training,English,English,2–3 hours per week,2 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,2,794780,5.0,"(0.0, 10.0]",9.694000327669404,"(0.0, 10.0]"
Financial Development and Financial Inclusion,13853,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,8–10 hours per week,7 Weeks,FREE-Add a Verified Certificate for $25 USD,9.0,25,7,346325,63.0,"(60.0, 70.0]",9.536257094657879,"(60.0, 70.0]"
Global Public Health,17273,Self-paced on your time,SDG Academy,Intermediate,Health & Safety,English,English,4–6 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,5.0,49,10,846377,50.0,"(40.0, 50.0]",9.756899867693285,"(40.0, 50.0]"
Embedded Systems - Shape The World: Microcontroller Input/Output,69182,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,English,8–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,9.0,49,8,3389918,72.0,"(70.0, 80.0]",11.144495992162893,"(70.0, 80.0]"
Introduction to Animal Behaviour,42135,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,5.0,49,6,2064615,30.0,"(20.0, 30.0]",10.648634028206454,"(20.0, 30.0]"
Circular Economy: An Introduction,50240,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,English,3–6 hours per week,7 Weeks,FREE-Add a Verified Certificate for $50 USD,4.5,50,7,2512000,31.5,"(30.0, 40.0]",10.82456680114208,"(30.0, 40.0]"
Public Financial Management,23288,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,4–6 hours per week,8 Weeks,FREE-Add a Verified Certificate for $25 USD,5.0,25,8,582200,40.0,"(30.0, 40.0]",10.05569348542546,"(30.0, 40.0]"
Anatomy: Human Neuroanatomy,49319,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,English,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,8,2416631,28.0,"(20.0, 30.0]",10.806064681322521,"(20.0, 30.0]"
Android: Introducción a la Programación,85786,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,4–5 hours per week,10 Weeks,FREE-Add a Verified Certificate for $50 USD,4.5,50,10,4289300,45.0,"(40.0, 50.0]",11.359611101999183,"(40.0, 50.0]"
The Ancient Greek Hero,51744,Instructor-led on a course schedule,Harvard University,Introductory,Humanities,English,English,8–12 hours per week,18 Weeks,FREE-Add a Verified Certificate for $99 USD,10.0,99,18,5122656,180.0,"(100.0, inf]",10.854063762376834,"(100.0, inf]"
Agile Leadership Principles and Practices,31838,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,4,6335762,10.0,"(0.0, 10.0]",10.36841582391508,"(0.0, 10.0]"
How to Code: Simple Data,98113,Self-paced on your time,University of British Columbia,Introductory,Computer Science,English,English,2–3 hours per week,7 Weeks,FREE-Add a Verified Certificate for $125 USD,2.5,125,7,12264125,17.5,"(10.0, 20.0]",11.493875154612681,"(10.0, 20.0]"
Cybersecurity and Privacy in the IoT,21440,Self-paced on your time,Curtin University,Introductory,Computer Science,English,English,4–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $199 USD,5.0,199,5,4266560,25.0,"(20.0, 30.0]",9.973013615184739,"(20.0, 30.0]"
Strategic Management,71085,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,"English, हिन्दी",3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $150 USD,4.0,150,5,10662750,20.0,"(10.0, 20.0]",11.171631623069798,"(10.0, 20.0]"
Introducción a la ciencia de datos y sus aplicaciones,7303,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,3–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $39 USD,4.5,39,6,284817,27.0,"(20.0, 30.0]",8.89604050162011,"(20.0, 30.0]"
"Biochemistry: Biomolecules, Methods, and Mechanisms",18692,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Biology & Life Sciences,English,English,3–6 hours per week,12 Weeks,FREE-Add a Verified Certificate for $150 USD,4.5,150,12,2803800,54.0,"(50.0, 60.0]",9.835850903820317,"(50.0, 60.0]"
Astronomía Virtual,10500,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,"English, Español",5–7 hours per week,7 Weeks,FREE-Add a Verified Certificate for $29 USD,6.0,29,7,304500,42.0,"(40.0, 50.0]",9.259130536145614,"(40.0, 50.0]"
Nutrition and Cancer,27144,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,English,6–8 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,7.0,99,5,2687256,35.0,"(30.0, 40.0]",10.208911306464065,"(30.0, 40.0]"
Build your very first iOS app,31570,Instructor-led on a course schedule,Curtin University,Introductory,Computer Science,English,English,8–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $149 USD,9.0,149,8,4703930,72.0,"(70.0, 80.0]",10.359962581552038,"(70.0, 80.0]"
Object-Oriented Programming,93633,Self-paced on your time,IITBombay,Introductory,Computer Science,English,English,6–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,7.0,149,4,13951317,28.0,"(20.0, 30.0]",11.447138164432129,"(20.0, 30.0]"
Introduction to Jenkins,7233,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,2–3 hours per week,10 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,10,1439367,25.0,"(20.0, 30.0]",8.886409166849282,"(20.0, 30.0]"
Conducting an Informational Interview,15594,Self-paced on your time,University of Washington,Introductory,Language,English,English,3–5 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,8,1543806,32.0,"(30.0, 40.0]",9.654641503869545,"(30.0, 40.0]"
Liderazgo y comportamiento organizacional,21419,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Español,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,6.5,149,4,3191431,26.0,"(20.0, 30.0]",9.972033657571142,"(20.0, 30.0]"
