title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
IELTS Academic Test Preparation,1103777,Self-paced on your time,The University of Queensland,Introductory,Communication,English,English,5–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,7.5,99,8,109273923,60.0,"(50.0, 60.0]",13.91424849266227,"(50.0, 60.0]"
The Architectural Imagination,406181,Self-paced on your time,Harvard University,Introductory,Architecture,English,English,3–5 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,10,40211919,40.0,"(30.0, 40.0]",12.914554152046748,"(30.0, 40.0]"
TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced on your time,Educational Testing Service,Introductory,Communication,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,6,50101961,18.0,"(10.0, 20.0]",13.837750408895017,"(10.0, 20.0]"
Principles of Biochemistry,257600,Self-paced on your time,Harvard University,Intermediate,Medicine,English,English,4–6 hours per week,15 Weeks,FREE-Add a Verified Certificate for $199 USD,5.0,199,15,51262400,75.0,"(70.0, 80.0]",12.459163273212335,"(70.0, 80.0]"
Using Python for Research,262183,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,English,2–4 hours per week,12 Weeks,FREE-Add a Verified Certificate for $99 USD,3.0,99,12,25956117,36.0,"(30.0, 40.0]",12.476798012206741,"(30.0, 40.0]"
Hinduism Through Its Scriptures,140782,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,7.5,99,4,13937418,30.0,"(20.0, 30.0]",11.854967873624643,"(20.0, 30.0]"
Basic Spanish 1: Getting Started,400169,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Communication,English,"English, Español",4–5 hours per week,7 Weeks,FREE-Add a Verified Certificate for $40 USD,4.5,40,7,16006760,31.5,"(30.0, 40.0]",12.899642236862126,"(30.0, 40.0]"
The Health Effects of Climate Change,110024,Self-paced on your time,Harvard University,Introductory,Environmental Studies,English,English,3–5 hours per week,7 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,7,10892376,28.0,"(20.0, 30.0]",11.608453802794545,"(20.0, 30.0]"
Inglés básico: conversacional y networking,79671,Self-paced on your time,Universidades Anáhuac,Introductory,Business & Management,Español,"English, Español",5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,6.5,49,4,3903879,26.0,"(20.0, 30.0]",11.285660934071716,"(20.0, 30.0]"
Statistics and R,314586,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $249 USD,3.0,249,4,78331914,12.0,"(10.0, 20.0]",12.659012767662526,"(10.0, 20.0]"
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced on your time,Harvard University,Introductory,Chemistry,English,English,2–3 hours per week,16 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,16,28857189,40.0,"(30.0, 40.0]",11.884564880594295,"(30.0, 40.0]"
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced on your time,Harvard University,Introductory,Art & Culture,English,English,2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,3.0,99,8,12263130,24.0,"(20.0, 30.0]",11.726987907548246,"(20.0, 30.0]"
"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,English,3–5 hours per week,1 Weeks,FREE-Add a Verified Certificate for $25 USD,4.0,25,1,2289150,4.0,"(0.0, 10.0]",11.42481530271893,"(0.0, 10.0]"
Excel: Fundamentos y herramientas,284279,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $50 USD,3.5,50,8,14213950,28.0,"(20.0, 30.0]",12.557711429275997,"(20.0, 30.0]"
Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,4,4507167,16.0,"(10.0, 20.0]",11.429359056348073,"(10.0, 20.0]"
Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Harvard University,Intermediate,Social Sciences,English,English,2–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,3.0,99,10,12607947,30.0,"(20.0, 30.0]",11.754718037256168,"(20.0, 30.0]"
