name,institution,course_id,media_rating,num_ratings
An Introduction to American Law,University of Pennsylvania,american-law,4.8749356664951105,1943.0
The Strategy of Content Marketing,"University of California, Davis",content-marketing,4.466124661246613,2214.0
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,introduction-cybersecurity-cyber-attacks,4.265541740674956,3378.0
The Data Scientist’s Toolbox,Johns Hopkins University,data-scientists-tools,4.490623934538016,17598.0
Animal Behaviour and Welfare,The University of Edinburgh,animal-welfare,4.808333333333334,2160.0
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,convolutional-neural-networks-tensorflow,4.468628299437473,2311.0
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,positive-psychology-visionary-science,4.898365679264556,3916.0
Introduction to the Biology of Cancer,Johns Hopkins University,cancer,4.8132142857142854,2800.0
Convolutional Neural Networks,DeepLearning.AI,convolutional-neural-networks,3.8819277108433736,3735.0
Using Python to Access Web Data,University of Michigan,python-network-data,4.717531955183841,19011.0
Introductory Human Physiology,Duke University,physiology,4.784028126569563,1991.0
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,systematic-review,4.847051198963059,1543.0
Organizational Analysis,Stanford University,organizational-analysis,,
Communication Strategies for a Virtual Age,University of Toronto,communication-strategies-virtual-age,4.877777777777778,2430.0
Moral Foundations of Politics,Yale University,moral-politics,4.854368932038835,1854.0
Étudier en France: French Intermediate course B1-B2,École Polytechnique,etudier-en-france,4.844322344322344,1638.0
Managing the Company of the Future,London Business School,company-future-management,4.836814621409921,2298.0
Finance for Non-Finance Professionals,Rice University,finance-for-non-finance,4.814516129032258,1116.0
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,site-reliability-engineering-slos,4.254278728606357,409.0
Autism Spectrum Disorder,"University of California, Davis",autism-spectrum-disorder,4.678461538461539,1300.0
Data Science Methodology,IBM,data-science-methodology,4.330518697225573,4974.0
Introduction to Financial Accounting,University of Pennsylvania,wharton-accounting,4.776857490864799,4105.0
Marketing in a Digital World,University of Illinois at Urbana-Champaign,marketing-digital,4.7335814942834356,11283.0
Wind Energy,Technical University of Denmark (DTU),wind-energy,4.719063545150502,3588.0
Principles of Sustainable Finance,Erasmus University Rotterdam,sustainable-finance,4.909090909090909,132.0
Financial Engineering and Risk Management Part I,Columbia University,financial-engineering-1,4.4119127516778525,1192.0
Introduction to Philosophy,The University of Edinburgh,philosophy,4.709997636492555,4231.0
Business Metrics for Data-Driven Companies,Duke University,analytics-business-metrics,4.601558809636278,4234.0
Python Basics,University of Michigan,python-basics,4.811849244757296,6819.0
Introduction to Sustainability,University of Illinois at Urbana-Champaign,sustainability,4.7656529516994635,1677.0
Positive Psychiatry and Mental Health,The University of Sydney,positive-psychiatry,4.88593421973408,1429.0
Cryptography I,Stanford University,crypto,4.774143302180685,1926.0
Learning to Teach Online,UNSW Sydney (The University of New South Wales),teach-online,4.8010835913312695,2584.0
IT Security: Defense against the digital dark arts,Google,it-security,4.7608391608391605,4290.0
Entreprise et changement climatique,ESSEC Business School,entreprise-changement-climatique,5.0,6.0
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,neuromarketing,4.744525547445256,1370.0
Gamification,University of Pennsylvania,gamification,4.782874617737003,1962.0
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,algorithms-divide-conquer,,
Contabilidad para no contadores,Universidad Nacional Autónoma de México,contabilidad,4.767213617543321,6521.0
Using Python to Interact with the Operating System,Google,python-operating-system,4.614047791455467,1381.0
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,cs-fundamentals-1,4.636898920510304,1019.0
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,gcp-big-data-ml-fundamentals,4.569328760411563,6123.0
Databases and SQL for Data Science,IBM,sql-data-science,4.386113463166808,3543.0
Natural Language Processing in TensorFlow,DeepLearning.AI,natural-language-processing-tensorflow,4.236006051437216,1983.0
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,advanced-valuation-and-strategy,4.629072681704261,399.0
Natural Language Processing with Probabilistic Models,DeepLearning.AI,probabilistic-models-in-nlp,4.555555555555555,297.0
